Alter_beim_Tod,Zuckerkonsum,Alkoholkonsum,BMI,Sozialstatus,Sport,Raucher,Geschlecht
94,hoch,moderat,23.0,obere Mittelschicht,moderat,nein,w
64,mittel,keiner,30.9,obere Mittelschicht,viel,nein,w
94,hoch,moderat,25.0,reich,keiner,ja,w
85,mittel,keiner,30.4,untere Mittelschicht,keiner,ja,divers
67,mittel,mittel,23.1,Mittelschicht,viel,nein,w
87,niedrig,moderat,31.7,obere Mittelschicht,keiner,nein,w
80,mittel,keiner,21.5,Mittelschicht,moderat,nein,m
94,mittel,moderat,22.9,untere Mittelschicht,viel,nein,m
71,niedrig,moderat,26.4,Mittelschicht,keiner,nein,divers
90,niedrig,moderat,28.4,untere Mittelschicht,viel,nein,divers
79,niedrig,mittel,26.9,obere Mittelschicht,viel,nein,divers
75,mittel,keiner,27.2,Mittelschicht,moderat,nein,m
49,mittel,mittel,23.8,reich,moderat,ja,m
77,niedrig,keiner,20.4,arm,viel,nein,m
78,niedrig,mittel,24.2,obere Mittelschicht,viel,ja,m
92,niedrig,moderat,31.3,obere Mittelschicht,moderat,nein,divers
70,niedrig,moderat,24.4,reich,keiner,ja,w
74,mittel,keiner,23.2,Mittelschicht,keiner,ja,m
76,niedrig,mittel,22.0,Mittelschicht,moderat,ja,m
63,mittel,mittel,27.5,Mittelschicht,viel,nein,divers
81,niedrig,hoch,21.8,Mittelschicht,viel,nein,divers
83,hoch,mittel,22.5,untere Mittelschicht,keiner,nein,divers
77,mittel,mittel,28.3,Mittelschicht,moderat,nein,divers
74,mittel,moderat,26.8,obere Mittelschicht,moderat,nein,m
69,niedrig,mittel,24.2,obere Mittelschicht,moderat,nein,m
72,mittel,keiner,22.0,Mittelschicht,moderat,ja,m
73,mittel,moderat,18.8,obere Mittelschicht,viel,nein,w
70,niedrig,moderat,23.9,obere Mittelschicht,keiner,nein,w
72,mittel,moderat,24.0,arm,viel,nein,m
74,niedrig,keiner,26.9,reich,viel,nein,divers
83,mittel,mittel,22.4,Mittelschicht,moderat,nein,m
62,niedrig,moderat,20.8,reich,keiner,nein,m
70,niedrig,keiner,23.6,Mittelschicht,viel,ja,divers
67,niedrig,mittel,19.8,Mittelschicht,viel,ja,m
70,mittel,moderat,25.7,Mittelschicht,viel,ja,w
80,niedrig,hoch,22.8,Mittelschicht,keiner,nein,divers
70,mittel,moderat,21.3,untere Mittelschicht,viel,nein,w
74,mittel,keiner,21.6,reich,moderat,nein,divers
80,mittel,moderat,17.9,Mittelschicht,moderat,nein,divers
71,mittel,moderat,26.2,obere Mittelschicht,keiner,nein,m
76,niedrig,moderat,35.8,obere Mittelschicht,moderat,nein,w
78,hoch,moderat,21.0,Mittelschicht,moderat,nein,w
74,hoch,hoch,17.9,untere Mittelschicht,viel,ja,w
74,hoch,mittel,21.7,obere Mittelschicht,moderat,nein,divers
84,mittel,mittel,22.8,Mittelschicht,viel,nein,m
73,mittel,hoch,22.5,Mittelschicht,viel,ja,divers
92,mittel,moderat,23.7,Mittelschicht,moderat,ja,divers
93,mittel,mittel,28.3,untere Mittelschicht,keiner,ja,divers
79,hoch,moderat,26.5,Mittelschicht,viel,nein,m
78,hoch,keiner,17.3,Mittelschicht,moderat,nein,divers
72,mittel,moderat,28.4,Mittelschicht,moderat,nein,divers
74,hoch,keiner,19.4,Mittelschicht,viel,nein,w
74,mittel,hoch,31.8,Mittelschicht,moderat,nein,w
87,niedrig,keiner,24.8,Mittelschicht,moderat,nein,divers
84,mittel,keiner,23.5,untere Mittelschicht,keiner,nein,divers
57,hoch,moderat,21.3,obere Mittelschicht,keiner,ja,m
90,hoch,keiner,23.9,reich,viel,nein,divers
72,niedrig,mittel,23.8,arm,keiner,ja,m
94,mittel,moderat,31.5,Mittelschicht,moderat,ja,m
97,niedrig,hoch,24.4,Mittelschicht,viel,ja,m
77,mittel,keiner,18.9,Mittelschicht,viel,nein,w
89,mittel,moderat,20.3,Mittelschicht,moderat,nein,w
77,hoch,hoch,20.6,Mittelschicht,moderat,ja,w
69,hoch,mittel,21.7,arm,viel,nein,m
68,niedrig,keiner,22.8,Mittelschicht,viel,nein,m
69,mittel,mittel,28.3,Mittelschicht,moderat,nein,m
63,niedrig,mittel,25.9,reich,moderat,nein,m
87,hoch,mittel,22.9,Mittelschicht,moderat,nein,divers
67,mittel,keiner,24.1,Mittelschicht,viel,nein,divers
86,hoch,hoch,25.8,obere Mittelschicht,moderat,ja,m
69,hoch,mittel,26.9,obere Mittelschicht,viel,ja,w
63,mittel,moderat,27.7,Mittelschicht,moderat,nein,m
79,hoch,hoch,23.8,Mittelschicht,moderat,ja,m
66,mittel,mittel,21.5,arm,moderat,nein,m
80,hoch,moderat,29.9,Mittelschicht,moderat,nein,divers
68,mittel,mittel,26.8,untere Mittelschicht,keiner,nein,divers
54,mittel,mittel,22.7,Mittelschicht,moderat,nein,divers
74,niedrig,moderat,21.4,reich,viel,nein,divers
65,mittel,moderat,22.3,obere Mittelschicht,viel,ja,m
77,niedrig,keiner,24.3,Mittelschicht,moderat,ja,m
52,mittel,keiner,16.5,Mittelschicht,moderat,nein,w
68,niedrig,moderat,26.8,obere Mittelschicht,viel,nein,w
47,mittel,hoch,23.0,untere Mittelschicht,moderat,nein,m
69,mittel,moderat,30.6,Mittelschicht,keiner,nein,m
71,mittel,moderat,26.5,Mittelschicht,keiner,nein,divers
76,niedrig,moderat,16.5,Mittelschicht,moderat,ja,divers
82,mittel,mittel,25.9,untere Mittelschicht,moderat,nein,m
80,hoch,moderat,40.7,obere Mittelschicht,moderat,nein,m
54,mittel,keiner,31.9,obere Mittelschicht,keiner,nein,w
72,niedrig,mittel,26.1,reich,keiner,ja,w
74,mittel,mittel,23.3,reich,viel,nein,divers
69,mittel,moderat,26.3,reich,viel,nein,m
59,niedrig,mittel,28.0,Mittelschicht,viel,nein,divers
70,mittel,mittel,20.5,Mittelschicht,moderat,nein,m
70,niedrig,mittel,30.0,untere Mittelschicht,moderat,nein,divers
69,niedrig,mittel,26.4,obere Mittelschicht,moderat,nein,divers
67,hoch,hoch,28.0,arm,viel,ja,m
81,niedrig,moderat,32.4,Mittelschicht,moderat,ja,divers
73,mittel,keiner,27.7,untere Mittelschicht,moderat,nein,m
75,mittel,moderat,30.2,Mittelschicht,viel,nein,w
67,hoch,mittel,28.0,untere Mittelschicht,moderat,nein,m
73,niedrig,keiner,24.7,Mittelschicht,viel,ja,divers
75,mittel,moderat,26.0,untere Mittelschicht,viel,nein,m
73,mittel,hoch,25.9,obere Mittelschicht,moderat,ja,w
90,niedrig,hoch,28.9,obere Mittelschicht,keiner,nein,m
83,mittel,mittel,23.2,obere Mittelschicht,moderat,ja,divers
66,mittel,mittel,28.8,Mittelschicht,viel,ja,divers
83,hoch,keiner,30.9,Mittelschicht,keiner,nein,w
68,niedrig,keiner,24.1,untere Mittelschicht,keiner,nein,m
58,niedrig,keiner,23.4,untere Mittelschicht,viel,ja,divers
84,niedrig,moderat,23.1,reich,moderat,nein,divers
81,mittel,keiner,24.2,Mittelschicht,moderat,nein,w
78,mittel,moderat,20.4,Mittelschicht,moderat,ja,m
75,niedrig,moderat,13.0,obere Mittelschicht,viel,nein,m
73,mittel,moderat,18.5,obere Mittelschicht,moderat,nein,w
87,mittel,hoch,28.1,Mittelschicht,keiner,ja,w
79,hoch,keiner,31.1,untere Mittelschicht,moderat,ja,divers
65,mittel,keiner,32.0,Mittelschicht,moderat,nein,divers
84,niedrig,mittel,24.1,Mittelschicht,viel,nein,divers
86,niedrig,moderat,20.6,Mittelschicht,moderat,nein,w
66,mittel,moderat,22.6,Mittelschicht,moderat,nein,m
69,niedrig,keiner,20.8,reich,moderat,nein,m
87,niedrig,mittel,24.0,Mittelschicht,viel,nein,divers
78,mittel,moderat,22.7,untere Mittelschicht,moderat,ja,m
56,niedrig,hoch,26.1,Mittelschicht,moderat,nein,divers
55,mittel,mittel,24.7,Mittelschicht,moderat,ja,divers
61,mittel,keiner,32.9,untere Mittelschicht,moderat,nein,m
84,hoch,mittel,25.4,Mittelschicht,viel,nein,w
87,mittel,keiner,21.6,reich,viel,nein,w
80,hoch,moderat,25.8,obere Mittelschicht,viel,ja,divers
77,hoch,hoch,30.1,Mittelschicht,moderat,ja,m
82,niedrig,moderat,26.2,arm,moderat,ja,w
58,mittel,moderat,21.2,obere Mittelschicht,viel,nein,divers
73,hoch,keiner,25.4,Mittelschicht,moderat,nein,divers
63,mittel,moderat,34.6,Mittelschicht,viel,nein,divers
90,mittel,moderat,27.4,Mittelschicht,viel,nein,divers
75,mittel,keiner,24.2,Mittelschicht,keiner,nein,divers
65,hoch,keiner,25.3,Mittelschicht,keiner,nein,m
77,mittel,moderat,20.0,Mittelschicht,keiner,nein,m
78,hoch,mittel,24.4,obere Mittelschicht,moderat,nein,w
55,niedrig,mittel,21.6,Mittelschicht,moderat,nein,divers
70,mittel,mittel,32.6,reich,viel,nein,m
80,mittel,mittel,19.7,Mittelschicht,moderat,ja,divers
79,niedrig,moderat,18.8,untere Mittelschicht,moderat,ja,divers
85,hoch,moderat,23.1,reich,keiner,nein,w
74,niedrig,moderat,30.3,untere Mittelschicht,moderat,ja,w
62,niedrig,moderat,19.4,obere Mittelschicht,keiner,nein,w
69,niedrig,mittel,29.2,obere Mittelschicht,keiner,ja,m
59,mittel,mittel,13.7,reich,keiner,ja,w
70,hoch,hoch,27.2,untere Mittelschicht,moderat,nein,divers
87,mittel,moderat,23.1,obere Mittelschicht,viel,nein,divers
70,hoch,moderat,29.6,untere Mittelschicht,keiner,ja,m
56,mittel,keiner,23.4,Mittelschicht,keiner,nein,w
76,hoch,mittel,26.8,Mittelschicht,moderat,nein,w
69,niedrig,keiner,25.1,Mittelschicht,moderat,nein,w
50,hoch,moderat,22.4,obere Mittelschicht,keiner,nein,m
79,mittel,moderat,21.1,untere Mittelschicht,viel,nein,divers
75,niedrig,keiner,26.8,Mittelschicht,moderat,ja,m
71,mittel,mittel,25.7,arm,keiner,nein,w
65,mittel,hoch,24.2,untere Mittelschicht,moderat,ja,w
81,mittel,moderat,25.6,untere Mittelschicht,moderat,nein,w
69,niedrig,mittel,25.9,untere Mittelschicht,keiner,nein,w
82,niedrig,moderat,16.8,reich,keiner,ja,w
86,mittel,moderat,23.7,arm,keiner,nein,m
79,mittel,mittel,29.8,Mittelschicht,viel,nein,w
61,niedrig,moderat,22.2,Mittelschicht,keiner,ja,divers
72,mittel,keiner,21.9,Mittelschicht,viel,nein,m
92,niedrig,moderat,21.6,arm,viel,nein,w
69,mittel,hoch,25.8,untere Mittelschicht,viel,ja,m
62,mittel,mittel,23.4,obere Mittelschicht,viel,nein,divers
78,hoch,mittel,23.7,Mittelschicht,viel,nein,m
74,mittel,moderat,22.9,reich,viel,ja,w
59,mittel,keiner,26.3,arm,moderat,nein,divers
92,niedrig,mittel,25.1,Mittelschicht,moderat,nein,m
77,niedrig,mittel,27.8,Mittelschicht,viel,nein,w
62,niedrig,keiner,31.8,Mittelschicht,moderat,ja,divers
77,mittel,mittel,31.5,Mittelschicht,moderat,ja,divers
67,niedrig,keiner,32.3,untere Mittelschicht,moderat,ja,divers
82,niedrig,mittel,27.2,reich,moderat,nein,divers
77,hoch,hoch,24.0,untere Mittelschicht,keiner,nein,divers
87,mittel,moderat,25.6,arm,viel,nein,divers
55,niedrig,mittel,20.5,untere Mittelschicht,viel,nein,m
73,hoch,moderat,26.2,reich,keiner,nein,divers
74,mittel,mittel,29.9,reich,moderat,nein,divers
55,mittel,mittel,25.6,obere Mittelschicht,moderat,nein,w
56,niedrig,moderat,28.0,Mittelschicht,viel,nein,m
74,mittel,mittel,26.7,Mittelschicht,keiner,nein,w
66,niedrig,keiner,30.1,obere Mittelschicht,keiner,nein,divers
85,niedrig,moderat,27.3,Mittelschicht,viel,nein,divers
73,mittel,keiner,27.3,arm,moderat,nein,w
67,niedrig,moderat,28.4,obere Mittelschicht,viel,nein,w
91,mittel,keiner,29.3,arm,viel,nein,m
67,niedrig,keiner,26.4,untere Mittelschicht,moderat,ja,m
62,hoch,keiner,27.3,obere Mittelschicht,moderat,nein,m
79,niedrig,mittel,17.5,obere Mittelschicht,viel,nein,w
63,niedrig,keiner,23.9,Mittelschicht,moderat,ja,m
71,niedrig,moderat,20.2,Mittelschicht,viel,ja,m
78,niedrig,moderat,26.0,untere Mittelschicht,moderat,ja,divers
73,mittel,mittel,22.0,obere Mittelschicht,keiner,ja,m
85,niedrig,hoch,31.6,untere Mittelschicht,keiner,nein,w
70,hoch,hoch,22.6,obere Mittelschicht,moderat,ja,divers
79,mittel,keiner,23.6,Mittelschicht,viel,nein,divers
73,hoch,moderat,28.0,untere Mittelschicht,viel,nein,w
55,hoch,mittel,30.3,arm,keiner,nein,m
75,mittel,keiner,23.4,untere Mittelschicht,moderat,nein,w
74,hoch,keiner,24.8,Mittelschicht,viel,ja,w
57,hoch,keiner,31.0,Mittelschicht,moderat,nein,divers
75,hoch,mittel,26.8,Mittelschicht,keiner,nein,m
84,mittel,moderat,20.9,Mittelschicht,moderat,nein,m
79,mittel,moderat,23.9,Mittelschicht,moderat,nein,divers
83,niedrig,keiner,16.5,Mittelschicht,moderat,nein,w
74,mittel,hoch,22.6,reich,keiner,nein,m
79,niedrig,keiner,26.9,obere Mittelschicht,viel,nein,m
67,niedrig,moderat,22.2,obere Mittelschicht,keiner,nein,m
73,mittel,keiner,21.4,reich,moderat,nein,divers
83,mittel,moderat,23.5,Mittelschicht,keiner,ja,m
45,niedrig,keiner,23.5,Mittelschicht,viel,ja,m
64,mittel,keiner,18.5,Mittelschicht,viel,nein,divers
62,mittel,mittel,25.4,Mittelschicht,moderat,ja,divers
88,niedrig,mittel,26.3,Mittelschicht,keiner,nein,divers
68,hoch,moderat,26.8,obere Mittelschicht,moderat,nein,w
70,mittel,moderat,22.2,untere Mittelschicht,viel,nein,m
63,mittel,moderat,18.0,arm,moderat,nein,divers
71,mittel,keiner,25.6,Mittelschicht,moderat,nein,w
74,hoch,keiner,23.3,obere Mittelschicht,moderat,ja,m
65,niedrig,moderat,27.4,obere Mittelschicht,moderat,ja,m
61,mittel,keiner,28.1,Mittelschicht,viel,nein,divers
64,niedrig,hoch,22.0,untere Mittelschicht,keiner,nein,m
60,mittel,mittel,23.0,arm,moderat,nein,m
84,hoch,mittel,27.1,reich,moderat,nein,w
84,mittel,hoch,27.1,obere Mittelschicht,keiner,nein,divers
63,mittel,moderat,23.7,obere Mittelschicht,keiner,nein,w
67,mittel,mittel,30.3,untere Mittelschicht,keiner,nein,divers
63,niedrig,mittel,28.6,obere Mittelschicht,viel,nein,divers
83,niedrig,hoch,32.3,Mittelschicht,viel,nein,w
70,mittel,keiner,27.8,untere Mittelschicht,moderat,nein,m
97,hoch,mittel,22.5,Mittelschicht,moderat,nein,m
59,hoch,moderat,17.5,reich,keiner,ja,w
82,mittel,hoch,17.5,obere Mittelschicht,keiner,ja,w
71,niedrig,moderat,26.7,arm,moderat,nein,m
76,niedrig,mittel,26.7,untere Mittelschicht,moderat,ja,w
77,mittel,keiner,30.1,untere Mittelschicht,moderat,ja,w
65,mittel,mittel,22.3,reich,keiner,nein,divers
67,hoch,moderat,28.3,Mittelschicht,moderat,ja,divers
84,niedrig,hoch,26.8,arm,viel,nein,divers
86,niedrig,mittel,20.3,untere Mittelschicht,keiner,nein,m
91,niedrig,mittel,31.1,Mittelschicht,moderat,nein,divers
82,hoch,moderat,32.1,arm,viel,nein,w
58,mittel,keiner,22.9,Mittelschicht,moderat,nein,w
67,niedrig,mittel,27.9,untere Mittelschicht,moderat,nein,w
64,niedrig,moderat,28.0,Mittelschicht,viel,nein,m
88,hoch,moderat,27.8,Mittelschicht,moderat,ja,m
77,hoch,mittel,21.0,untere Mittelschicht,moderat,ja,m
66,niedrig,keiner,30.0,obere Mittelschicht,moderat,nein,m
82,mittel,moderat,24.8,obere Mittelschicht,keiner,nein,w
70,hoch,moderat,16.9,untere Mittelschicht,viel,nein,divers
64,mittel,keiner,32.6,Mittelschicht,moderat,nein,w
62,hoch,moderat,25.8,obere Mittelschicht,keiner,nein,divers
85,mittel,moderat,20.0,reich,viel,nein,divers
76,mittel,keiner,28.8,obere Mittelschicht,viel,nein,w
75,niedrig,hoch,36.5,Mittelschicht,moderat,ja,w
58,hoch,mittel,29.2,Mittelschicht,moderat,nein,m
73,niedrig,hoch,28.1,Mittelschicht,moderat,ja,w
79,niedrig,moderat,22.1,untere Mittelschicht,moderat,nein,w
77,hoch,keiner,17.6,obere Mittelschicht,moderat,nein,divers
81,mittel,hoch,26.2,Mittelschicht,moderat,nein,w
81,mittel,mittel,29.2,untere Mittelschicht,keiner,nein,m
78,mittel,keiner,25.6,Mittelschicht,moderat,nein,divers
66,mittel,moderat,22.2,Mittelschicht,viel,nein,m
86,hoch,keiner,30.7,Mittelschicht,moderat,nein,w
72,mittel,mittel,25.2,Mittelschicht,moderat,nein,m
65,mittel,mittel,29.7,untere Mittelschicht,viel,nein,m
81,niedrig,moderat,32.8,untere Mittelschicht,viel,nein,w
66,hoch,mittel,23.5,obere Mittelschicht,moderat,nein,m
77,mittel,moderat,27.6,Mittelschicht,moderat,nein,w
72,mittel,keiner,21.5,reich,keiner,ja,w
83,hoch,moderat,27.9,obere Mittelschicht,moderat,ja,divers
65,hoch,moderat,30.4,reich,keiner,nein,m
86,hoch,moderat,25.5,untere Mittelschicht,moderat,nein,m
75,mittel,moderat,27.2,untere Mittelschicht,moderat,nein,m
66,mittel,mittel,25.1,obere Mittelschicht,viel,nein,w
53,hoch,keiner,28.5,Mittelschicht,keiner,ja,m
59,mittel,moderat,31.0,arm,viel,nein,m
71,mittel,keiner,24.2,obere Mittelschicht,viel,nein,w
68,niedrig,mittel,23.8,untere Mittelschicht,keiner,nein,divers
89,mittel,mittel,15.0,obere Mittelschicht,moderat,ja,m
87,mittel,mittel,26.4,Mittelschicht,keiner,nein,divers
62,niedrig,keiner,20.7,untere Mittelschicht,keiner,ja,w
91,hoch,moderat,21.2,untere Mittelschicht,viel,nein,w
63,hoch,keiner,29.5,Mittelschicht,moderat,nein,w
78,hoch,keiner,21.2,arm,keiner,nein,divers
77,hoch,keiner,20.9,Mittelschicht,moderat,nein,divers
86,mittel,keiner,29.2,obere Mittelschicht,viel,ja,m
80,mittel,moderat,26.4,obere Mittelschicht,moderat,nein,m
92,niedrig,keiner,25.0,arm,moderat,ja,w
63,mittel,hoch,26.8,Mittelschicht,moderat,ja,divers
95,hoch,moderat,20.9,reich,viel,ja,m
71,mittel,mittel,26.7,untere Mittelschicht,moderat,nein,divers
74,mittel,mittel,21.1,reich,moderat,nein,w
86,mittel,moderat,34.3,Mittelschicht,keiner,nein,m
76,mittel,moderat,21.4,Mittelschicht,keiner,ja,m
59,hoch,moderat,26.0,Mittelschicht,moderat,nein,divers
86,mittel,keiner,26.9,untere Mittelschicht,moderat,nein,w
74,niedrig,moderat,22.6,Mittelschicht,keiner,nein,m
64,mittel,keiner,28.3,Mittelschicht,moderat,nein,m
84,mittel,moderat,18.8,Mittelschicht,moderat,ja,w
90,mittel,hoch,27.3,obere Mittelschicht,moderat,nein,divers
88,mittel,mittel,19.6,Mittelschicht,moderat,ja,w
61,mittel,hoch,24.4,Mittelschicht,keiner,ja,w
80,mittel,moderat,32.2,arm,keiner,nein,divers
82,hoch,hoch,24.0,untere Mittelschicht,viel,nein,divers
64,hoch,keiner,29.9,Mittelschicht,keiner,ja,w
65,mittel,moderat,31.5,obere Mittelschicht,moderat,nein,w
72,mittel,keiner,31.4,untere Mittelschicht,viel,nein,divers
81,hoch,keiner,24.5,Mittelschicht,moderat,ja,m
69,hoch,keiner,23.6,reich,viel,nein,m
79,niedrig,keiner,25.3,reich,moderat,nein,m
69,hoch,mittel,24.3,untere Mittelschicht,viel,ja,w
75,niedrig,moderat,16.5,Mittelschicht,viel,ja,m
79,hoch,moderat,21.1,untere Mittelschicht,moderat,ja,divers
63,hoch,hoch,18.3,Mittelschicht,moderat,ja,divers
57,niedrig,moderat,19.6,Mittelschicht,moderat,nein,w
67,niedrig,moderat,32.8,untere Mittelschicht,keiner,nein,m
69,mittel,mittel,25.7,untere Mittelschicht,keiner,nein,m
79,niedrig,mittel,25.5,Mittelschicht,moderat,nein,w
74,niedrig,moderat,20.2,Mittelschicht,viel,nein,w
89,mittel,mittel,32.2,obere Mittelschicht,keiner,ja,w
58,mittel,moderat,20.9,Mittelschicht,moderat,nein,m
72,niedrig,keiner,21.1,Mittelschicht,viel,nein,m
80,mittel,keiner,22.1,untere Mittelschicht,keiner,nein,w
96,niedrig,mittel,29.8,Mittelschicht,moderat,nein,m
77,mittel,moderat,29.1,Mittelschicht,moderat,nein,w
86,niedrig,keiner,22.7,Mittelschicht,viel,nein,w
66,niedrig,keiner,25.3,untere Mittelschicht,moderat,nein,m
83,mittel,mittel,25.6,reich,moderat,ja,m
59,mittel,moderat,21.8,Mittelschicht,moderat,nein,divers
74,mittel,moderat,24.7,untere Mittelschicht,viel,nein,w
94,mittel,keiner,19.5,untere Mittelschicht,moderat,nein,w
80,mittel,keiner,31.0,Mittelschicht,viel,nein,w
97,hoch,mittel,23.4,untere Mittelschicht,moderat,ja,w
79,hoch,keiner,27.3,arm,moderat,nein,m
76,hoch,mittel,24.6,untere Mittelschicht,viel,ja,w
79,hoch,moderat,14.9,Mittelschicht,moderat,ja,m
81,mittel,hoch,25.5,obere Mittelschicht,moderat,ja,m
72,mittel,keiner,33.2,obere Mittelschicht,moderat,nein,w
68,hoch,moderat,23.4,Mittelschicht,moderat,ja,w
94,mittel,moderat,21.7,Mittelschicht,moderat,nein,divers
69,mittel,moderat,24.4,Mittelschicht,moderat,ja,w
83,hoch,mittel,25.8,untere Mittelschicht,moderat,ja,divers
62,mittel,moderat,22.9,untere Mittelschicht,keiner,nein,w
68,mittel,hoch,24.7,obere Mittelschicht,moderat,nein,w
79,hoch,mittel,26.7,untere Mittelschicht,viel,nein,w
57,mittel,moderat,29.3,reich,moderat,ja,divers
77,mittel,mittel,30.5,untere Mittelschicht,viel,nein,w
79,niedrig,hoch,29.4,Mittelschicht,moderat,nein,m
79,mittel,moderat,30.4,Mittelschicht,keiner,nein,m
80,mittel,keiner,24.6,arm,moderat,nein,m
97,mittel,keiner,28.6,Mittelschicht,viel,ja,m
80,mittel,moderat,19.9,obere Mittelschicht,moderat,nein,m
62,hoch,mittel,26.2,untere Mittelschicht,viel,nein,m
76,niedrig,keiner,22.5,reich,moderat,nein,w
76,mittel,hoch,31.4,arm,moderat,nein,w
81,niedrig,moderat,20.4,obere Mittelschicht,viel,ja,m
73,niedrig,moderat,21.8,untere Mittelschicht,moderat,ja,divers
71,mittel,keiner,23.3,obere Mittelschicht,viel,ja,divers
70,mittel,moderat,20.0,reich,viel,nein,w
73,mittel,hoch,22.8,Mittelschicht,viel,ja,w
45,niedrig,keiner,33.2,reich,viel,nein,w
85,niedrig,moderat,23.5,Mittelschicht,moderat,nein,w
75,niedrig,mittel,20.3,Mittelschicht,viel,nein,m
91,niedrig,moderat,32.6,reich,keiner,nein,w
76,mittel,mittel,29.1,obere Mittelschicht,keiner,nein,divers
76,mittel,keiner,19.7,untere Mittelschicht,keiner,nein,w
70,niedrig,mittel,25.5,Mittelschicht,keiner,nein,divers
70,hoch,keiner,24.1,Mittelschicht,moderat,ja,m
74,niedrig,mittel,24.7,Mittelschicht,moderat,ja,m
75,hoch,moderat,20.8,arm,keiner,nein,m
67,hoch,mittel,19.9,Mittelschicht,viel,nein,divers
84,mittel,moderat,16.6,Mittelschicht,keiner,nein,divers
86,niedrig,moderat,30.5,Mittelschicht,moderat,nein,w
71,mittel,hoch,14.6,Mittelschicht,moderat,nein,divers
71,mittel,moderat,24.7,obere Mittelschicht,keiner,ja,m
64,mittel,keiner,22.9,Mittelschicht,moderat,nein,divers
90,mittel,hoch,27.7,Mittelschicht,keiner,nein,w
65,niedrig,hoch,18.6,Mittelschicht,viel,nein,w
71,hoch,moderat,24.1,Mittelschicht,keiner,ja,divers
79,mittel,moderat,22.9,obere Mittelschicht,viel,ja,divers
80,mittel,moderat,32.7,reich,moderat,nein,w
83,mittel,keiner,24.8,obere Mittelschicht,moderat,nein,w
73,niedrig,moderat,23.6,reich,moderat,nein,w
86,niedrig,keiner,22.5,obere Mittelschicht,moderat,nein,w
75,hoch,moderat,25.2,obere Mittelschicht,viel,nein,divers
69,mittel,keiner,19.5,obere Mittelschicht,viel,nein,w
78,hoch,keiner,24.8,untere Mittelschicht,keiner,nein,w
80,mittel,mittel,22.9,obere Mittelschicht,viel,nein,divers
87,mittel,keiner,21.5,Mittelschicht,moderat,ja,w
92,mittel,moderat,18.0,untere Mittelschicht,keiner,nein,m
79,niedrig,keiner,26.9,reich,keiner,ja,m
67,hoch,moderat,26.7,Mittelschicht,moderat,ja,m
87,mittel,hoch,16.1,obere Mittelschicht,moderat,ja,m
80,mittel,moderat,15.0,Mittelschicht,moderat,nein,m
65,hoch,moderat,31.5,Mittelschicht,viel,nein,m
69,mittel,moderat,20.3,untere Mittelschicht,moderat,nein,w
73,niedrig,mittel,33.3,untere Mittelschicht,viel,nein,w
56,niedrig,mittel,20.8,reich,keiner,nein,divers
89,hoch,moderat,32.4,Mittelschicht,keiner,nein,m
73,mittel,hoch,20.0,reich,moderat,ja,w
95,niedrig,moderat,31.4,obere Mittelschicht,keiner,nein,divers
81,mittel,mittel,21.8,reich,keiner,nein,divers
74,hoch,mittel,24.4,obere Mittelschicht,keiner,nein,w
78,mittel,mittel,30.8,arm,moderat,nein,w
83,mittel,keiner,20.7,Mittelschicht,moderat,nein,w
88,mittel,mittel,26.3,reich,keiner,ja,m
81,mittel,mittel,30.9,Mittelschicht,viel,nein,m
63,mittel,moderat,24.9,untere Mittelschicht,viel,nein,m
69,mittel,mittel,18.7,reich,moderat,ja,w
78,hoch,moderat,35.0,arm,keiner,nein,divers
56,mittel,hoch,24.9,arm,viel,nein,m
81,niedrig,moderat,25.5,untere Mittelschicht,moderat,nein,m
73,hoch,keiner,19.8,Mittelschicht,moderat,nein,m
77,niedrig,moderat,22.0,Mittelschicht,viel,nein,m
53,mittel,moderat,29.8,Mittelschicht,moderat,nein,m
84,mittel,moderat,25.2,Mittelschicht,moderat,ja,w
77,mittel,mittel,29.3,untere Mittelschicht,moderat,ja,divers
77,niedrig,mittel,28.6,untere Mittelschicht,moderat,nein,m
72,niedrig,moderat,30.2,Mittelschicht,viel,nein,m
78,mittel,keiner,25.8,untere Mittelschicht,moderat,nein,m
62,niedrig,mittel,26.1,Mittelschicht,keiner,nein,w
66,niedrig,moderat,22.4,untere Mittelschicht,moderat,ja,w
66,niedrig,mittel,20.7,reich,viel,nein,w
96,hoch,hoch,30.3,obere Mittelschicht,moderat,nein,w
94,mittel,mittel,20.1,obere Mittelschicht,viel,nein,m
75,hoch,moderat,19.8,reich,viel,ja,divers
68,mittel,moderat,21.3,Mittelschicht,moderat,ja,w
87,mittel,hoch,23.4,untere Mittelschicht,viel,ja,divers
85,hoch,keiner,27.4,untere Mittelschicht,moderat,nein,w
98,niedrig,moderat,19.1,untere Mittelschicht,moderat,nein,divers
87,niedrig,moderat,29.6,Mittelschicht,viel,nein,w
65,mittel,moderat,29.0,Mittelschicht,viel,nein,divers
78,niedrig,keiner,24.1,reich,moderat,nein,w
66,hoch,moderat,22.1,untere Mittelschicht,viel,ja,w
95,niedrig,mittel,25.0,untere Mittelschicht,moderat,ja,m
82,mittel,keiner,21.8,Mittelschicht,moderat,nein,divers
67,mittel,keiner,29.3,obere Mittelschicht,moderat,ja,divers
61,hoch,mittel,23.3,Mittelschicht,keiner,ja,m
75,niedrig,moderat,25.4,Mittelschicht,moderat,nein,w
73,hoch,mittel,26.6,arm,moderat,ja,m
